decision,final_wording,surface,file,concept,note,blocked_on,retired_words_to_fix,#factions,ua,snide,wow,coven,ephemerists,everymen,singularity,albescent,na
FACTION,,faction identity,factions.json,names.{F},,,,9,UA,S.N.I.D.E.,Warriors of Whimsy,Cozy Coven,The Ephemerists,Everymen,Singularity,/Albescent,Unaffiliated
FACTION,,faction identity,factions.json,descriptions.{F},"CORRECTED: both previously claimed universals. coven's ""Full points on every task"" is true of every faction (own/other_task_modifier=1.0 across the board); albescent's ""any meta tasks from any group"" is also universal — faction_service.faction_permits states there is no active faction gate. Each now states its real perk. Other 7 descriptions unchanged. || RETIRED-WORD REWRITE applied: replace where the word NAMES the entity, keep as imagery. || Faction columns hold the CORRECTED coven + albescent descriptions.",#1871 (albescent),,9,"We practise art as a daily, deliberate thing. One true piece, then another. The satisfaction is in the making, not the tally.",Specialists in one-on-one competition. Bonus points for winning duels.,"A gold-clad order of knights sworn to the solemn crusade of inflicting joy upon a dreary world. We wield the noodle sword. We take the ridiculous with total, unsmiling seriousness — that tension is not a bug, it is the entire creed, and the Court will hear no argument. Once per level, a knight may reach one level above their own to claim a single task.",A soft-lit circle of makers. Anything you take on together with another witch earns +10%.,"Wanderers who set down fleeting truths before the road moves on. Task Vision — you may work retired tasks, long after they close to everyone else.","No inner circle, no waiting to be chosen. Reliable hands who do the work in front of them and finish what they start.",embrace your digital double,Entered by defection and never by application. Every privilege the other houses keep for themselves is yours — and the door never locks behind you.  [BLOCKED ON #1871],Not yet sworn to a faction.
NOT FACTION COPY,Members · {{total}},misc,factions.json,detail.{F}.membersHeading,"This IS the shared factions:detail.default.* block — pulled in only because the extractor aliases the ""default"" key to the na slug. No action.",,,1,,,,,,,,,Members · {{total}}
NOT FACTION COPY,Tasks · {{total}},misc,factions.json,detail.{F}.tasksHeading,"This IS the shared factions:detail.default.* block — pulled in only because the extractor aliases the ""default"" key to the na slug. No action.",,,1,,,,,,,,,Tasks · {{total}}
NOT FACTION COPY,No tasks yet.,misc,factions.json,detail.{F}.tasksEmpty,"This IS the shared factions:detail.default.* block — pulled in only because the extractor aliases the ""default"" key to the na slug. No action.",,,1,,,,,,,,,No tasks yet.
NOT FACTION COPY,Recently completed,misc,factions.json,detail.{F}.recentHeading,"This IS the shared factions:detail.default.* block — pulled in only because the extractor aliases the ""default"" key to the na slug. No action.",,,1,,,,,,,,,Recently completed
NOT FACTION COPY,No completed praxis yet.,misc,factions.json,detail.{F}.recentEmpty,"This IS the shared factions:detail.default.* block — pulled in only because the extractor aliases the ""default"" key to the na slug. No action.",,,1,,,,,,,,,No completed praxis yet.
FACTION,,invitation letter (albescent),factions.json,{F}.sealed.eyebrow,,,,1,,,,,,,,— no such account —,
FACTION,,invitation letter (albescent),factions.json,{F}.sealed.line,,,,1,,,,,,,,You know not what you seek.,
FACTION,,invitation letter (albescent),factions.json,{F}.letter.aria,,,,1,,,,,,,,A correspondence,
FACTION,,invitation letter (albescent),factions.json,{F}.letter.wordmark,,,,1,,,,,,,,Albescent,
FACTION,,invitation letter (albescent),factions.json,{F}.letter.letterhead,,,,1,,,,,,,,Faction no. 7 · enlistment · in confidence,
FACTION,,invitation letter (albescent),factions.json,{F}.letter.handExtended,,,,1,,,,,,,,A hand is extended —,
FACTION,,invitation letter (albescent),factions.json,{F}.letter.headline,,,,1,,,,,,,,Take up the work,
FACTION,,invitation letter (albescent),factions.json,{F}.letter.pitch,,,,1,,,,,,,,"Albescent is an unranked order that keeps what others let slip. Attend the quiet duties, return them well, and leave no trace of yourself in the work. There is no leaderboard here worth minding.",
FACTION,,invitation letter (albescent),factions.json,{F}.letter.termsHeading,,,,1,,,,,,,,"The terms, plainly",
FACTION,,invitation letter (albescent),factions.json,{F}.letter.terms.tollLabel,,,,1,,,,,,,,toll of entry,
FACTION,,invitation letter (albescent),factions.json,{F}.letter.terms.tollValue,,,,1,,,,,,,,"one duty, quietly kept",
FACTION,,invitation letter (albescent),factions.json,{F}.letter.terms.skillsLabel,,,,1,,,,,,,,required skills,
FACTION,,invitation letter (albescent),factions.json,{F}.letter.terms.skillsValue,,,,1,,,,,,,,none — only care,
FACTION,,invitation letter (albescent),factions.json,{F}.letter.terms.outputLabel,,,,1,,,,,,,,expected output,
FACTION,,invitation letter (albescent),factions.json,{F}.letter.terms.outputValue,,,,1,,,,,,,,"accounts, entered plainly",
CUT,,invitation letter (albescent),factions.json,{F}.letter.terms.standingLabel,RULED CUT: albescent twin of the cut standing row.,,,1,,,,,,,,standing,
CUT,,invitation letter (albescent),factions.json,{F}.letter.terms.standingValue,RULED CUT: albescent twin of the cut standing row.,,,1,,,,,,,,"unranked, by design",
FACTION,,invitation letter (albescent),factions.json,{F}.letter.perks.record,,,,1,,,,,,,,A record that survives the keeper,
FACTION,,invitation letter (albescent),factions.json,{F}.letter.perks.duties,,,,1,,,,,,,,Duties that ask nothing back,
FACTION,,invitation letter (albescent),factions.json,{F}.letter.perks.witnessed,,,,1,,,,,,,,"Your account, witnessed and inscribed",
FACTION,,invitation letter (albescent),factions.json,{F}.letter.joined,,,,1,,,,,,,,You are of the Order,
FACTION,,invitation letter (albescent),factions.json,{F}.letter.whoHeading,,,,1,,,,,,,,Who takes up the work,
FACTION,,invitation letter (albescent),factions.json,{F}.letter.lifeMeta,,,,1,,,,,,,,@{{username}} · {{faction}},
FACTION,,invitation letter (albescent),factions.json,{F}.letter.acceptBusy,,,,1,,,,,,,,Entering the record…,
FACTION,,invitation letter (albescent),factions.json,{F}.letter.acceptIdle,,,,1,,,,,,,,Accept the order,
FACTION,,invitation letter (albescent),factions.json,{F}.letter.reassurance,,,,1,,,,,,,,you need not persuade us.,
FACTION,,invitation letter (albescent),factions.json,{F}.letter.declineError,,,,1,,,,,,,,"The order declined, and gave no reason.",
CUT,,ephemerists masthead,factions.json,{F}.masthead.starMark,"Single-faction flourish on a surface ruled generic. Cut per the ""strip it out, put it back intentionally"" principle.",,,1,,,,,星,,,,
CUT,,ephemerists masthead,factions.json,{F}.masthead.star,"Single-faction flourish on a surface ruled generic. Cut per the ""strip it out, put it back intentionally"" principle.",,,1,,,,,Star,,,,
CUT,,ephemerists masthead,factions.json,{F}.masthead.almanacMark,"Single-faction flourish on a surface ruled generic. Cut per the ""strip it out, put it back intentionally"" principle.",,,1,,,,,暦,,,,
CUT,,ephemerists masthead,factions.json,{F}.masthead.almanac,"Single-faction flourish on a surface ruled generic. Cut per the ""strip it out, put it back intentionally"" principle.",,,1,,,,,Almanac,,,,
CUT,,ephemerists masthead,factions.json,{F}.masthead.observationMark,"Single-faction flourish on a surface ruled generic. Cut per the ""strip it out, put it back intentionally"" principle.",,,1,,,,,観,,,,
CUT,,ephemerists masthead,factions.json,{F}.masthead.observation,"Single-faction flourish on a surface ruled generic. Cut per the ""strip it out, put it back intentionally"" principle.",,,1,,,,,Observation,,,,
CUT,,ephemerists masthead,factions.json,{F}.masthead.recordMark,"Single-faction flourish on a surface ruled generic. Cut per the ""strip it out, put it back intentionally"" principle.",,,1,,,,,録,,,,
CUT,,ephemerists masthead,factions.json,{F}.masthead.record,"Single-faction flourish on a surface ruled generic. Cut per the ""strip it out, put it back intentionally"" principle.",,,1,,,,,Record,,,,
GENERIC,About,about panel,factions.json,{F}.aboutpanel.heading,Matches common.json profile.aboutHeading.,,,6,The Practice,what we're about —,The Charter,the manifesto ✦,The Apparatus,The Charter,,,
GENERIC,No description yet.,about panel,factions.json,{F}.aboutpanel.empty,Adopted from factions:detail.descriptionEmpty.,,,6,Nothing written down yet.,No manifesto pasted up yet.,,No manifesto scribbled yet.,No apparatus recorded yet.,No charter written yet.,> manifest.txt: empty,,
GENERIC,Tasks · {{total}},task / praxis lists,factions.json,{F}.tasks.heading,Adopted from factions:detail.default.tasksHeading. || Old per-faction values contain retired words; moot — replaced by one shared string.,,,7,Today's points,Heists,Quests Awaiting a Champion,Open Quests,Surveys,Jobs,Functions,,
CUT,,task / praxis lists,factions.json,{F}.tasks.kicker,"RULED CUT: restates its own heading (""Tasks · {{total}}""). || Old per-faction values contain retired words; moot — replaced by one shared string.",,,7,Open to any hand,We've come up with a new caper to pull off,The herald's call,Fresh quests on the board,Surveys awaiting a hand to triangulate them,Now mobilizing,Open functions needing cycles // awaiting nodes,,
GENERIC,No tasks yet.,task / praxis lists,factions.json,{F}.tasks.empty,Adopted from factions:detail.default.tasksEmpty. || Old per-faction values contain retired words; moot — replaced by one shared string.,,,7,Nothing set down today.,No mischief here,"No quests afoot. The realm is, briefly and tragically, sensible.",No quests pinned up.,No surveys open.,No work orders posted.,> no open functions,,
GENERIC,Recent praxis,task / praxis lists,factions.json,{F}.praxis.heading,Adopted from factions:mobile.recentPraxis. || Old per-faction values contain retired words; moot — replaced by one shared string.,,,7,Sealed work,Good Stories,Chronicles of Proof,Spells cast,Transcriptions,Accomplishments,Signals Generated,,
CUT,,task / praxis lists,factions.json,{F}.praxis.kicker,"RULED CUT: restates its own heading (""Recent praxis""). || Old per-faction values contain retired words; moot — replaced by one shared string.",,,7,Recently sealed,Successful heists,Deeds set down,Spells that stuck the landing,Truths filed to the codex & weighed for concordance,Work that held up,function outputs // verified by the array,,
GENERIC,No praxis submitted yet.,task / praxis lists,factions.json,{F}.praxis.empty,"Adopted from factions:detail.default.recentEmpty, verb updated to the ruled ""submitted"". || Old per-faction values contain retired words; moot — replaced by one shared string.",,,7,Nothing sealed yet.,No heists pulled off yet.,"The chronicle stands open, its pages still blank.",Nothing cast yet.,Nothing sealed to the codex yet.,No reports filed yet.,> no answers yet,,
