surface,file,concept,#factions,blocked_on,note,ua,snide,wow,coven,ephemerists,everymen,singularity,albescent,na
faction hero,feed.json,factionHero.{F}.boot.faction,1,,,,,,,,,FACTION: {{name}},,
faction hero,feed.json,factionHero.{F}.boot.status,1,,,,,,,,,STATUS: ACTIVE · ARRAYS ONLINE,,
faction hero,feed.json,factionHero.{F}.boot.threshold,1,,,,,,,,,THRESHOLD: <1>CROSSED</1>,,
faction hero,feed.json,factionHero.{F}.descriptionFallback,7,,,"One true piece, then another. The satisfaction is in the making, not the tally.",Nothing matters. We do it anyway.,"Gold-clad knights who take the silly seriously. We deliver soliloquies to houseplants, joust with pool noodles, and mean every word of it.",Nobody said the work couldn't be fun. Cast something.,Wanderers who set down what is true before it passes.,Nobody's coming to fix it but us. Report for duty.,"Through execution comes understanding, through understanding, a stronger signal",,
faction hero,feed.json,factionHero.{F}.eyebrow,6,,,World Zero · A daily practice,World Zero · faction no. 4,World Zero · the Court of Whimsy,World Zero · Faction · est. MMXXI,World Zero · Faction №5 — the road's keepers,World Zero · Faction,,,
faction hero,feed.json,factionHero.{F}.factionLine,1,,,,,,,,,,Faction · {{name}},
faction hero,feed.json,factionHero.{F}.gloss,1,,,,,,,† nothing keeps. we keep the record anyway — <1>see †</1>,,,,
faction hero,feed.json,factionHero.{F}.motto,7,,,,NOTHING MATTERS — DO IT ANYWAY,“Whimsy for everyone.”,"make it weird, make it matter",OMNIA · TRANSEUNT,THE WORK OUTLASTS THE WORKER,THE THRESHOLD IS ALREADY BEHIND US,The work is the work,
faction hero,feed.json,factionHero.{F}.readoutTitle,1,,,,,,,,,SYSTEM READOUT,,
faction hero,feed.json,factionHero.{F}.stats.members,8,,,practising,operatives,Knights,witches,ephemerists,card-carrying,nodes online,Keepers,
faction hero,feed.json,factionHero.{F}.unrankedLine,1,,,,,,,,,,Unranked · By design,
